block_number,block_timestamp,tx_type,transaction_hash,pool_tx_index,pool_log_index,proxy_log_index,sender,receipt,amount0,amount1,total_liquidity,total_liquidity_delta,sqrtPriceX96,current_tick,position_id,tick_lower,tick_upper,liquidity
23354058,2022-01-05 00:11:59,SWAP,0xf9e691ce4dd41973f40e3ca4e8d3f68bd3a26694baf0b68a84fbb612ae572cc9,3,15,,0x897a6bbee1f08fd5ca3e698db6645bcf2c85b936,0x7228cc6599676dbf447430833773a9233aa95c88,9474899776,-2503368100265607695,1453959908969200824,0,1288072278465602649930003038615268,193936.0,,,,
23354060,2022-01-05 00:12:15,SWAP,0x6c7e0a1f8619880a1d4539d9a5d4ccb38221697e6396bd0d74aa5322cb96818b,2,15,,0x897a6bbee1f08fd5ca3e698db6645bcf2c85b936,0x7228cc6599676dbf447430833773a9233aa95c88,10388708770,-2744196769462356505,1453959908969200824,0,1287922743621979469727216142157008,193933.0,,,,
23354062,2022-01-05 00:12:31,SWAP,0x4a3fe689215c90dc7310b5245ac9a9a855509b18ee662a091f3db327d697cdb7,1,6,,0xe592427a0aece92de3edee1f18e0157c05861564,0x8b26320912935111300ddaeec15ea9a182ff6f1a,18782393434,-4959787242519502845,1460184029372847837,0,1287652564528675108118215893923522,193929.0,,,,
23354062,2022-01-05 00:12:31,SWAP,0x764a2df29c42adeeb80a5e34e3d7990f50a733605f5194a3c13ca40d76a5557c,3,18,,0x897a6bbee1f08fd5ca3e698db6645bcf2c85b936,0x7228cc6599676dbf447430833773a9233aa95c88,10424023937,-2751731560057450570,1460184029372847837,0,1287503258255732580741628272281803,193927.0,,,,
23354077,2022-01-05 00:14:23,SWAP,0x728dc29676a223bb21cd18a04f248818edbede7e9d796fef2f7a88fb3e5c2b6e,2,9,,0xe592427a0aece92de3edee1f18e0157c05861564,0xc6d5ad3c4002a1b48d87b83939698660516ae142,18679507244,-4929416229139349720,1460184029372847837,0,1287235792934754891411185922867991,193923.0,,,,
23354079,2022-01-05 00:14:35,SWAP,0x8972e66f9c451cbc9894c06a931f1dc6bc546e65013512bf9474455fd9c7d824,2,10,,0xe592427a0aece92de3edee1f18e0157c05861564,0x693fb96fdda3c382fde7f43a622209c3dd028b98,6372370631,-1681164055982139533,1460184029372847837,0,1287144574611337328414983516709700,193921.0,,,,
23354083,2022-01-05 00:14:59,SWAP,0x529f6bdcd2f14f69cfb55187d5d9ff85d550c44644f780bb62d79b3728ce7c06,121,333,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xb020852796bb04e431e6a2f018805c142fbd4a03,-3786770690,1000000000000000000,1460184029372847837,0,1287198806507344997295124294431484,193922.0,,,,
23354094,2022-01-05 00:16:05,SWAP,0xad9a9d4775143421469bcf3f8e04422b3cae84a55e9d8fbdbe6136df62fa6f3b,103,366,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,217591166,-57405710365634984,1460184029372847837,0,1287195691729441249945480055142011,193922.0,,,,
23354096,2022-01-05 00:16:17,SWAP,0xadad5b7d270f84146742a71a36ba169bf9980818a349489b6074d31766f24f84,4,16,,0x897a6bbee1f08fd5ca3e698db6645bcf2c85b936,0x7228cc6599676dbf447430833773a9233aa95c88,9560461663,-2522002298921737979,1460184029372847837,0,1287058850342341474518170261783632,193920.0,,,,
23354102,2022-01-05 00:16:53,SWAP,0x5a87da15a5ecb67b8d4f9fc30df5a678f107e6f1c2b843dfebd6aec7d74af06e,0,3,,0xe592427a0aece92de3edee1f18e0157c05861564,0xc6d5ad3c4002a1b48d87b83939698660516ae142,12815138922,-3379728992008243442,1460184029372847837,0,1286875469540711965137405541260739,193917.0,,,,
