block_number,block_timestamp,tx_type,transaction_hash,transaction_index,log_index,reserve,owner,amount,liquidator,debt_asset,debt_amount,atoken
52000132,2024-01-06 08:31:42,AAVE_REPAY,0x028341d4c9e58b5a30f257c9c3bd21de4cd48d353ef57da8ffc10eedf03f0f83,62,372,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x90a44827435abef40ebc041d5c91ff414a86f183,10000000,,,,0.0
52000330,2024-01-06 08:38:42,AAVE_WITHDRAW,0xbf390d8a22ea163ff62797ca61b85eddcd941b25aaaaedd8b98d789c999edee7,44,244,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xa12ae3ebf9a3ebbeb0fa77d56848209ced868f60,2431800756,,,,
52000364,2024-01-06 08:39:54,AAVE_WITHDRAW,0x1d5c46d99b643a800f455f8257afc666b7649177d692ce36c094c45ff93c0500,6,32,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x7fb28e7a91cf9f9db9ef2b837e904e2dde514527,5000000000,,,,
52000465,2024-01-06 08:43:30,AAVE_SUPPLY,0xf4581b644068840c11e44607722e8a754b50d451bb00468387b12e793ca0a7d2,82,433,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x59a34b88bed6ea81c56e7125e2bdafc761b7b635,2016029140,,,,
52000541,2024-01-06 08:46:10,AAVE_WITHDRAW,0x0edbf034c3aaf5b756527115f024a5d9897ed8f63bee921189d9ad29d453df0e,31,200,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x1dc6074361a3cddee55a61c92bcf7de1667e1096,60000000000,,,,
52000576,2024-01-06 08:47:26,AAVE_SUPPLY,0xe4e8a4eba2938f09e35276d09f7a10009692aa6073c00e9f421dc402d8b7c7cf,81,320,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xa0362c701d8523fe0d5f5d72059dd9ca967a741c,900000000,,,,
52000588,2024-01-06 08:47:50,AAVE_REPAY,0xa49c4de62c3f396cfde4750c382e6c4e55a96073eebabc0a55cdace977f58843,61,236,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xbf4ebea7279de8517f60bd5fdbe9aebe03de90ed,2900022399,,,,0.0
52000623,2024-01-06 08:49:36,AAVE_WITHDRAW,0x5cfef02e3c7435361754bfa4024b49550fab77a1b55f11102e0a88ddb86dbdfb,69,364,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xc4aff49fced8ac1d818a6dcab063f9f97e66ec5e,2000000000,,,,
52000646,2024-01-06 08:50:26,AAVE_WITHDRAW,0xf64f4b069bebeb16f1114c703d224f0acc831f521c32e31a2a14635769290b66,42,187,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x06220ce28a7f6e52eab49f3147cc200d8f13e471,20051366131,,,,
52000657,2024-01-06 08:50:50,AAVE_WITHDRAW,0x5b763e44ac72795a667bf089f2dd54d038eec01d76c406cf9e0569b31684f9af,123,489,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xc4aff49fced8ac1d818a6dcab063f9f97e66ec5e,15000000,,,,
52000708,2024-01-06 08:52:38,AAVE_SUPPLY,0x006a6543950f7a459434c307d78b305bc3851459e6f0cc2e5537c2007e96dacb,51,346,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xd033982624c4e36609aae37d5b0435079ac3cb9f,120001311,,,,
52000785,2024-01-06 08:55:22,AAVE_SUPPLY,0xbaef6901570c2707e4fa67a4de1a87818db3010ec33f0c76da9afbf95b7a50f6,151,640,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xd033982624c4e36609aae37d5b0435079ac3cb9f,130679938,,,,
52000802,2024-01-06 08:55:58,AAVE_WITHDRAW,0x6230aa5b03c971e6f436350d45fc3c9ff2b54f443b10d9de6d6e0778411b0085,37,676,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xc4aff49fced8ac1d818a6dcab063f9f97e66ec5e,1000000000,,,,
52000830,2024-01-06 08:56:56,AAVE_WITHDRAW,0x87b7f810ffa136108778c97a1f96113c7c1acf25da7c28e3750b511a48b23506,88,378,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xc4aff49fced8ac1d818a6dcab063f9f97e66ec5e,1000000000,,,,
52000833,2024-01-06 08:57:04,AAVE_WITHDRAW,0x025573eecbcbbdca29971e07108bda1d3fc71cd3706af1dad7f447e30086cfa1,150,665,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xc4aff49fced8ac1d818a6dcab063f9f97e66ec5e,5652467,,,,
52000855,2024-01-06 08:57:50,AAVE_SUPPLY,0xc1fe21ee4f420e5aead6beefd8c5c894135fea96801871d4aae4c81537439803,78,1389,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xfac2f11ba2577d5122dc1ec5301d35b16688251e,3747069244,,,,
