block_number,block_timestamp,tx_type,transaction_hash,pool_tx_index,pool_log_index,proxy_log_index,sender,receipt,amount0,amount1,total_liquidity,total_liquidity_delta,sqrtPriceX96,current_tick,position_id,tick_lower,tick_upper,liquidity
22843678,2021-12-22 21:58:23,MINT,0x5e8497de3ca8ad3f7bd2b49033a6711feae2f1722b683683ac642eb3d6469c3b,41,161,162.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,342948285,73585586040816446,1779862390719747,82524993632406,1250441059475007656379567225429990,193343.0,136.0,192180.0,194700.0,82524993632406
22843717,2021-12-22 21:59:45,SWAP,0x425a3e300df329308154b4602059202be5ae5a4caf69dedf2614d19d1f42efa0,26,179,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,49312098,-12271955907896604,1779862390719747,0,1249894789986923500199748257386676,193334.0,,,,
22843817,2021-12-22 22:03:09,SWAP,0x76b367e04ccb2082c677f4c912a6d0652983215df93d82144fb9f2b5ccb50f70,32,179,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x058c7c1ea5bd1482276108d5674f05662ef0898f,-56578590,14095319513765406,1779862390719747,0,1250521910318143688197220046063531,193344.0,,,,
22843821,2021-12-22 22:03:17,SWAP,0xf3e0b6c6db97ddf2c9ac33e5599a0ec85d1b6c04df5f50686e6d45f6d1f573e2,7,54,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,-11702293,2917136294471695,1779862390719747,0,1250651697761231937763512874954374,193346.0,,,,
22843826,2021-12-22 22:03:27,SWAP,0x5c89744eb5d7ee06db76a244df23968e95b5a06a581fad83af1d45160debf12f,70,437,,0x11431a89893025d2a48dca4eddc396f8c8117187,0x11431a89893025d2a48dca4eddc396f8c8117187,86929398,-21633586485922248,1779862390719747,0,1249688707973476530654142788234837,193331.0,,,,
22843888,2021-12-22 22:05:35,SWAP,0xb568ef406412918bec20f8069805ff2bc40dab9ee7732020dbeea6411263666a,10,78,,0x1111111254fb6c44bac0bed2854e76f90643097d,0x1111111254fb6c44bac0bed2854e76f90643097d,-16084701,4004392558999912,1779862390719747,0,1249866868957020268188759319078491,193333.0,,,,
22843896,2021-12-22 22:05:51,SWAP,0xe25995813a49f04d98e2ec7d6cb76314a84d2335094841d3d0ef80dec694890c,47,308,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x4e7edd3046381f5fe9c5de98e5d7dd3b1eb273bd,-100315523,25000000000000000,1779862390719747,0,1250979153660122858360022334243963,193351.0,,,,
22843905,2021-12-22 22:06:13,SWAP,0x3b8e141ba315703a01f3eb65d41eae5f425d772f031a5fc824cff805a0939cff,113,581,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xebaf5741ab3df7aab87616ead8e2a55aef2c1c35,250000000,-62158732485958360,1779862390719747,0,1248212241911913652900325863516923,193307.0,,,,
22843909,2021-12-22 22:06:21,SWAP,0x13131dae832da00f370da1f2e6ae782c74d65c2a96546ccaf88b765c65c382f0,8,43,,0x2ec255797fef7669fa243509b7a599121148ffba,0x2ec255797fef7669fa243509b7a599121148ffba,-86015130,21376694459880421,1779862390719747,0,1249163320721938567994509390546023,193322.0,,,,
22843915,2021-12-22 22:06:33,SWAP,0x92e586981cf134ba80ad1487e8b3b5da6fac371a6f99b788f5f4a97887ddab0a,35,201,,0x2ec255797fef7669fa243509b7a599121148ffba,0x2ec255797fef7669fa243509b7a599121148ffba,-103926966,25871686312827745,1779862390719747,0,1250314387959107646155521130363723,193341.0,,,,
